sura,aya,combined_score
3,48,0.9926367029169783
3,49,0.6448148466881202
3,50,0.9381011777561916
3,51,0.9882167095468231
3,52,0.9192469948534635
3,53,0.9931580198871751
3,54,0.9834932600280994
3,55,0.8172644931662139
3,56,0.9790266005691646
3,57,0.952281451999887
3,58,0.9842507618276625
3,59,0.9432556064484217
3,60,0.9597821201994405
3,61,0.8616707081133175
3,62,0.9707131205276479
3,63,0.9783821451944474
3,64,0.8238169984368136
3,65,0.964158597707989
3,66,0.9358413983684809
3,67,0.9790266005691646
3,68,0.9719550662919666
3,69,0.9853754635395084
3,70,0.9790134232605816
3,71,0.9685039029212794
3,72,0.9467179829332151
3,73,0.8182979993113775
3,74,0.9860588419672494
3,75,0.7554683972692484
3,76,0.9819511119426811
3,77,0.8593165245856085
3,78,0.8479388885420356
3,79,0.843892448577842
3,80,0.9713791441488606
3,81,0.7526676567768045
3,82,0.9807671326503083
3,83,0.9798232760032729
3,84,0.8233859119034189
3,85,0.9852472145486482
3,86,0.9438889000754054
3,87,0.9867077193682809
3,88,0.9907445323103093
3,89,0.9970534932467505
3,90,0.9724240863313094
3,91,0.9130329998782655
3,92,0.9707131205276479
3,93,0.8897859113404967
3,94,0.9996947549633299
3,95,0.9882344804796872
3,96,0.9874055974699898
3,97,0.8966499457590755
3,98,0.9828286216757084
3,99,0.9534880100972939
3,100,0.9454710289868726
3,101,0.9628874396455002
3,102,0.9743557598711656
3,103,0.7231130521740952
3,104,0.9502346381506999
3,105,0.9726654352086875
3,106,0.9304332757008826
3,107,0.9928058766670076
3,108,0.9903555813077332
3,109,0.9878553321619614
3,110,0.8621155633489777
3,111,0.9904205831198103
3,112,0.7343174575944799
3,113,0.972878245134139
3,114,0.9311137485231642
3,115,0.9794257158431421
3,116,0.953407221699174
3,117,0.90385638779361
3,118,0.8348393217366616
3,119,0.8237433321104808
3,120,0.926348967532242
3,121,0.9939217358246859
3,122,0.9816935911016917
3,123,0.9885238948704645
3,124,0.9605838177981805
3,125,0.9442717212573957
3,126,0.9633206640191676
3,127,0.9816574971837921
3,128,0.9891848930174667
3,129,0.9441187950612647
3,130,0.9443419613468564
3,131,0.9739549938211378
3,132,0.9681936648449556
3,133,0.9643797999457245
3,134,0.9610318664811021
3,135,0.8915316759145159
3,136,0.9442717212573957
3,137,0.9729407105544631
3,138,0.9504014073485016
3,139,0.9889456704435444
3,140,0.8888207896969436
3,141,0.9426260910102167
3,142,0.9715540915338742
3,143,0.985080479848989
3,144,0.8875338303789062
3,145,0.9058239969226423
3,146,0.9276846235799129
3,147,0.9303060995590906
3,148,0.9711580581658226
3,149,0.9277335602247297
3,150,0.9755303436184843
3,151,0.9412628617552495
3,152,0.6895275339120914
3,153,0.8861578979376908
3,154,0.5151341526051009
3,155,0.9303957083813532
3,156,0.7249960318239327
3,157,0.9779202710357368
3,158,0.9783821451944474
3,159,0.8141210543809259
3,160,0.9603510312036223
3,161,0.9021088350207227
3,162,0.9832068246808268
3,163,0.9643432386874823
3,164,0.8889686503758828
3,165,0.9314998401434385
3,166,0.9562168947774984
3,167,0.7494423209013945
3,168,0.9599679248963322
3,169,0.9865469185012745
3,170,0.937285169136007
3,171,0.9938860845301827
3,172,0.9645124936930736
3,173,0.9575106972283267
3,174,0.9438983291777039
3,175,0.9584609013039249
3,176,0.9276846235799129
3,177,0.9875085445986704
3,178,0.9534443962756853
3,179,0.746494668242795
3,180,0.8242119580431266
3,181,0.9133922902248676
3,182,0.9924470440837029
3,183,0.8496226910216964
3,184,0.9637676737207794
3,185,0.900549030554328
3,186,0.8816573225159077
3,187,0.8989609906012368
3,188,0.9398871930071562
3,189,0.9683955332712397
3,190,0.9844946373119531
3,191,0.8962591042340402
3,192,0.9970772700487724
3,193,0.8958963115773848
3,194,0.9804413180128706
3,195,0.6450503634149813
3,196,0.9829614869950589
3,197,0.9737265781376763
3,198,0.9329899778034878
3,199,0.8340294964797871
3,200,0.9405364474639341
4,1,0.7688889770250291
4,2,0.9243705717137215
4,3,0.8616002845220758
4,4,0.9718341347947497
4,5,0.9558971462738315
4,6,0.6644471673785318
4,7,0.9261912887497129
4,8,0.9634970161755957
4,9,0.9502346381506999
4,10,0.9577317709508284
4,11,0.5253659474736619
4,12,0.5098426302592171
4,13,0.9514128588171971
4,14,0.9852586178301573
4,15,0.8855584160591328
4,16,0.9589718481628604
4,17,0.9215001599419245
4,18,0.8821903338869839
4,19,0.7217282990010906
4,20,0.9167678714231653
4,21,0.9847550337457811
4,22,0.9552463448744108
4,23,0.5532811725044676
4,24,0.6577601479384008
4,25,0.5394893992027497
4,26,0.9798232760032729
4,27,0.9780530968521879
4,28,0.9886646760147393
4,29,0.9073481909170126
4,30,0.9876736594012255
4,31,0.9695982140181807
4,32,0.8809726522669578
4,33,0.9300933361016712
4,34,0.647495094594766
4,35,0.9220354882089827
4,36,0.7066479068033086
4,37,0.9262394735588039
4,38,0.9300499970069701
4,39,0.9576167967588283
4,40,0.9700643388612479
4,41,0.9853956889840831
4,42,0.9800914770539634
4,43,0.6204103414179
4,44,0.9725825590624974
4,45,0.9865722040561088
4,46,0.6758017050847351
4,47,0.84611466926878
4,48,0.903183489921091
4,49,0.9729407105544631
4,50,0.9911660325312478
4,51,0.914758105151315
4,52,0.9981924756971003
4,53,0.9817101923156752
4,54,0.943092000484939
4,55,0.9799938204711917
4,56,0.9031128212705218
4,57,0.873881209768826
4,58,0.8914517259129634
4,59,0.8138897276501418
4,60,0.8354301159565963
4,61,0.9738911997455552
4,62,0.9633887616793698
4,63,0.9726654352086875
4,64,0.887950099434345
4,65,0.9543739939241764
4,66,0.8886604793721686
4,67,0.9652479463629628
4,68,0.9180793841936961
4,69,0.9188455673588116
4,70,0.9550142673166587
4,71,0.9800735991588045
4,72,0.9573251596935706
4,73,0.9573606816639265
4,74,0.918102774181017
4,75,0.7756395329144663
4,76,0.8952871529543887
4,77,0.6176212405556111
4,78,0.7525810370614352
4,79,0.9526691864428218
4,80,0.9939217358246859
4,81,0.891691560182473
4,82,0.980638930026779
4,83,0.8088537383402508
4,84,0.9181440248528996
4,85,0.9063265430068244
4,86,0.9740950334057867
4,87,0.9499005348806231
4,88,0.9128043761550857
4,89,0.831893991752618
4,90,0.7017369080920488
4,91,0.7171690013687304
4,92,0.5546849172567949
4,93,0.9555664302616373
4,94,0.6940151977352178
4,95,0.701699900509604
4,96,0.9853988321615954
4,97,0.8152997777879509
4,98,0.972277587191616
4,99,0.992698983637903
4,100,0.8392944495283179
4,101,0.9118051985457463
4,102,0.5307089861123919
4,103,0.8591053959727948
4,104,0.9172227604251425
4,105,0.9736261164022902
4,106,0.9716737377072336
4,107,0.9756518225524209
4,108,0.9222653108490286
4,109,0.94436289646693
4,110,0.9836193443603787
4,111,0.9958783535389089
4,112,0.9763898044651544
4,113,0.7955061583733545
4,114,0.8890196597326387
4,115,0.9409374287634082
4,116,0.9010733749545856
4,117,0.9970534932467505
4,118,0.9945067683768988
4,119,0.8241186877885589
4,120,0.9750977289946698
4,121,0.9797953910972403
4,122,0.9083611231181448
4,123,0.928033651986416
4,124,0.9736261164022902
4,125,0.9469057092082287
4,126,0.9871911851113881
4,127,0.6759321253533845
4,128,0.8361446439161548
4,129,0.8935169539888355
4,130,0.994900615135964
4,131,0.8226466037269659
4,132,0.9709826007592575
4,133,0.9891729082934448
4,134,0.9707548254468588
4,135,0.7051861706690487
4,136,0.8072964523987788
4,137,0.9389788447705365
4,138,0.9707466180557407
4,139,0.9381427750231548
4,140,0.7909759507653947
4,141,0.7197451557779057
4,142,0.9151413196461629
4,143,0.9626958181298781
4,144,0.9160655442812513
4,145,0.9900980632137055
4,146,0.9147788237936512
4,147,0.9858956949308217
4,148,0.9563163710213352
4,149,0.9586705805527989
4,150,0.8983111332130254
4,151,0.9518986565559422
4,152,0.9470701514522433
4,153,0.7110924525234873
4,154,0.9197765675548015
4,155,0.8675949943017731
4,156,0.9555557384272202
4,157,0.8019437375324083
4,158,0.9780658798686188
4,159,0.9795879057751864
4,160,0.9765576335867945
4,161,0.9441446960810189
4,162,0.8024250916673197
4,163,0.804199003428942
4,164,0.9780143969643624
4,165,0.9746973723910777
4,166,0.9762790946436213
4,167,0.9903065703386413
4,168,0.9903555813077332
4,169,0.9981924756971003
4,170,0.9010209742961761
4,171,0.5863091869757204
4,172,0.9163506059715936
4,173,0.8181453753295111
4,174,0.972428088687499
4,175,0.9635330165957945
4,176,0.623769057231805
5,1,0.8601435368049426
5,2,0.5656957589178928
5,3,0.5284417279078111
5,4,0.7898516309535792
5,5,0.6273832297811299
5,6,0.528041081825303
5,7,0.9326111267570836
5,8,0.8570482213040553
5,9,0.9685708515770123
5,10,0.9671674003637087
5,11,0.8815889527488487
5,12,0.6230478871423938
5,13,0.7693445518283573
5,14,0.8505882798886546
5,15,0.9166160998919011
5,16,0.9467707823215921
5,17,0.6940474236004752
5,18,0.8059444015703414
5,19,0.8644236548177483
5,20,0.9229572844917742
5,21,0.9451314359206284
5,22,0.9614512862422654
5,23,0.8916985609648163
5,24,0.9645124936930736
5,25,0.9715372870691188
5,26,0.975789181755159
5,27,0.8901463064200169
5,28,0.9723656105296795
5,29,0.9848501269569081
